Term,RawFrequency
ojos,1299
señor,970
don,941
casa,923
vida,915
día,814
hombre,805
madre,724
mujer,720
noche,704
mundo,695
dios,669
años,668
cabeza,648
alma,617
mano,586
voz,574
manos,573
sigüenza,543
amor,541
cosa,530
padre,519
parecía,506
señora,493
tierra,482
sol,482
mal,477
pobre,471
tarde,450
corazón,437
puerta,415
luz,415
hijo,411
agua,397
días,387
cielo,386
hombres,374
camino,371
allá,371
pronto,368
cuerpo,363
muerte,361
silencio,356
medio,349
pueblo,346
lejos,323
boca,323
hija,316
aire,315
cara,308
frente,305
viejo,303
mar,303
doña,299
juan,298
visto,293
mañana,287
vio,285
miedo,285
hora,282
sangre,279
oro,274
fondo,273
daba,273
condesa,270
horas,268
amigo,266
pie,262
calle,262
mirada,261
palabras,260
azul,258
niño,256
brazos,256
caso,255
triste,249
grande,248
sombra,246
labios,245
aquello,245
marido,241
pies,240
niña,239
luna,239
puso,238
familia,238
pasar,237
muerto,237
negro,235
vieja,234
hijos,234
gente,232
delante,232
nombre,230
vino,229
sentía,227
creía,226
rostro,225
punto,224
oh,219
miraba,218
joven,218
espíritu,218
pipá,214
paso,214
debía,213
mujeres,211
blanco,211
pensaba,210
dolor,208
duda,207
suelo,205
carne,205
vista,204
palabra,201
ciudad,201
dulce,199
mil,198
iglesia,198
amigos,198
cura,197
idea,196
san,194
iban,193
sintió,192
llevaba,192
venía,191
alto,190
quiso,188
público,188
blanca,188
jamás,187
teatro,186
pasaba,186
mesa,186
gloria,186
salir,185
arte,185
salió,183
pasó,183
rey,182
color,182
frío,181
ángel,181
flores,180
d,178
historia,177
hablar,177
llegar,176
fuego,176
santo,175
claro,175
cama,174
alegría,174
soledad,172
madrid,171
obra,170
dónde,170
dama,170
morir,169
gracia,169
campo,169
vivir,168
señores,168
pensar,167
siquiera,166
quiero,166
parecían,166
dedos,166
pecho,165
oído,165
lágrimas,164
ay,164
acaso,164
ve,163
piedra,163
hablaba,163
volver,162
ustedes,161
miró,161
padres,159
año,159
santa,158
perro,158
efecto,158
dinero,157
sonrisa,156
recuerdo,156
puesto,155
conciencia,155
música,154
mira,153
llamaba,153
mozo,152
berta,152
gusto,151
empezó,151
único,150
media,150
instante,150
brazo,150
salía,149
fe,148
aldea,147
esposa,146
volvía,143
pan,143
