"CUENTO H-ID"	Título	"Año de publicación"	Década	Estética	Longitud
24	"El amor asesinado"	1898	1890	Realismo	790
25	"El viajero"	1896	1890	Realismo	1176
26	"El corazón perdido"	1898	1890	Realismo	731
27	"Mi suicidio"	1894	1890	Realismo	1191
28	"La última ilusión de Don Juan"	1893	1890	Realismo	1283
29	Desquite	1897	1890	Realismo	1358
30	"El dominó verde"	1895	1890	Realismo	1772
31	"La aventura del ángel"	1897	1890	Realismo	1559
32	"El fantasma"	1897	1890	Realismo	1400
33	"La perla rosa"	1898	1890	Realismo	1587
34	"Un parecido"	1897	1890	Realismo	1497
35	Memento	1896	1890	Realismo	1481
36	"La caja de oro"	1894	1890	Realismo	1128
37	"La sirena"	1895	1890	Realismo	1518
38	"Así y todo..."	1891	1890	Realismo	1413
39	"La cabellera de Laura"	1898	1890	Realismo	1617
40	"Delincuente honrado"	1897	1890	Realismo	1457
41	"Primer amor"	1883	1880	Realismo	2512
42	"La inspiración"	1894	1890	Realismo	1424
43	Champagne	1898	1890	Realismo	1183
44	"Sor Aparición"	1896	1890	Realismo	1863
45	¿Justicia?	1894	1890	Realismo	1372
46	"Más allá"	1893	1890	Realismo	1031
47	"La culpable"	1893	1890	Realismo	1108
48	"La novia fiel"	1894	1890	Realismo	1335
49	Afra	1894	1890	Realismo	1450
50	"Cuento soñado"	1894	1890	Realismo	1223
51	"Los buenos tiempos"	1894	1890	Realismo	1988
52	"Sara y Agar"	1894	1890	Realismo	1569
53	"Maldición de gitana"	1897	1890	Realismo	1609
54	"""La bicha"""	1897	1890	Realismo	1613
56	"Sangre del brazo"	1896	1890	Realismo	1434
57	Consuelo	1898	1890	Realismo	906
58	"La novela de Raimundo"	1898	1890	Realismo	1500
59	"El encaje roto"	1897	1890	Realismo	1567
60	Martina	1898	1890	Realismo	2107
61	Apólogo	1898	1890	Realismo	1450
62	"A secreto agravio"	1896	1890	Realismo	1491
63	"La religión de Gonzalo"	1898	1890	Realismo	1272
64	"El panorama de la princesa"	1898	1890	Realismo	1423
65	Remordimiento			Realismo	1517
66	"Temprano y con sol..."	1891	1890	Realismo	2220
67	"Sí, señor"	1909	1900	Realismo	1324
68	"Las medias rojas"	1914	1910	Realismo	871
69	"Un poco de ciencia"	1909	1900	Realismo	1296
70	"Sin querer"	1909	1900	Realismo	1370
71	"La Corpana"	1907	1900	Realismo	1270
72	Lumbrarada	1907	1900	Realismo	1258
73	"La advertencia"			Realismo	1127
74	"Obra de Misericordia"	1919	1910	Realismo	1419
75	"Bajo la losa"	1909	1900	Realismo	1369
76	"Milagro natural"	1909	1900	Realismo	1092
77	"La casa del sueño"	1911	1910	Realismo	1414
78	"Entre humo"	1911	1910	Realismo	1310
79	"La señorita Aglae"	1913	1910	Realismo	1629
80	"El pañuelo"	1901	1900	Realismo	831
